chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.6,2.8,4.3,4,4.2,이종태 교수님,역학개론(영강),2017-2학기,전공선택
4,3.5,3.7,3.8,3.8,고병수 교수님,보건학도를위한의학개론,2017-2학기,전공선택
4.3,4,3.1,3.3,2.9,김혜영 교수님,중급보건통계학(영강),2017-2학기,전공선택
3.1,3.1,2.9,3.3,3.1,이준협 교수님,의료보장론,2017-2학기,전공선택
4.4,3.3,3,2.9,3.4,"김지환,박종경 교수님",치아형태생리학,2017-2학기,전공선택
4.9,3.4,3.2,3.5,3.1,배은정 교수님,구강보건학,2017-2학기,전공선택
1.7,4.2,3.1,3.4,3.8,손민성 교수님,의료회계및원가관리,2017-2학기,전공선택
5,2.8,4.3,4.7,3.4,"이종태,김인황 교수님",인간과생명,2017-2학기,전공선택
5,2.6,4.8,4.4,4,김승섭 교수님,건강형평성연구(영강),2017-2학기,전공선택
4.2,3,3.3,3.3,2.4,이태노 교수님,보건데이터베이스,2017-2학기,전공선택
4.5,3.8,2.4,2.4,2.8,전진훈 교수님,치과소재산업,2017-2학기,전공선택
4.9,3.7,2.8,2.8,2.6,윤기찬 교수님,보건의료전략경영론,2017-2학기,전공선택
4.9,4,3.1,3.6,4.1,권지혜 교수님,보건의료관계법규,2017-2학기,전공선택
2.8,3.9,3.4,3.9,4.4,김승철 교수님,보건의료관계법규,2017-2학기,전공선택
5,2.4,3.7,4.1,2.4,김웅철 교수님,총의치및임플란트치과산업,2017-2학기,전공선택
4.6,4.6,1.8,1.9,2.5,이인학 교수님,방사선과환경,2017-2학기,전공선택
3.6,3.6,4.1,4,4.2,문경환 교수님,물환경관리,2017-2학기,전공선택
4.5,3.9,3.4,2.9,4.1,최달웅 교수님,위해독성평가및실험,2017-2학기,전공선택
2.8,2.5,1.8,2.2,2.5,심상효 교수님,작업환경관리,2017-2학기,전공선택
1.6,2.6,3.4,2.6,2.8,"손종렬,정영림 교수님",공기질평가및실험,2017-2학기,전공선택
4.9,4.2,4.1,4.2,4.4,이원호 교수님,방사선상호작용(영강),2017-2학기,전공선택
1.3,4,3.9,4.4,4.3,김성욱 교수님,전염병및백신학,2017-2학기,전공선택
2.2,4.4,2.1,1.7,3,최윤석 교수님,원자력안전규제,2017-2학기,전공선택
4.5,2.7,3.5,4.6,3.3,강정호 교수님,공중보건학,2017-2학기,전공선택
4.5,3.1,3.3,4.2,2.9,강정호 교수님,해부생리학,2017-2학기,전공선택
4.6,3.8,4.1,4.2,4.4,김준선 교수님,임상신경과학,2017-2학기,전공선택
2.2,4.1,3.1,2.9,3.1,김정민 교수님,의료기기시스템,2017-2학기,전공선택
2.8,2,3.3,3,1.8,"손종렬,이용진 교수님",환경위해성평가,2017-2학기,전공선택
4.3,3.4,3.4,3.3,3.1,변상훈 교수님,산업환기,2017-2학기,전공선택
2.5,3.8,3.6,2.6,2.8,김기현 교수님,방사선센서(영강),2017-2학기,전공선택
2.7,4.2,3.8,4.5,3.4,이승관 교수님,진단검사과학,2017-2학기,전공선택
5,4.1,2.4,2.2,3.1,이복영 교수님,산업안전관리,2017-2학기,전공선택
2.8,4.4,3.8,4.4,4.8,문경환 교수님,수질평가및실험,2017-2학기,전공선택
3,4,3.3,2.7,3.5,김진수 교수님,동위원소이용,2017-2학기,전공선택
4.4,4.6,2.8,2.5,3.9,김성욱 교수님,진단생리학및실험,2017-2학기,전공선택
4.7,3.6,3.3,3.7,3.9,김진관 교수님,최신진단의과학,2017-2학기,전공선택
4.8,4.7,3.5,3.2,3.7,이원호 교수님,방사선안전평가(영강),2017-2학기,전공선택
5,4,2,2,4,김수연 교수님,생애주기영양학,2017-2학기,전공선택
4,4,3,4,3,홍성용 교수님,식품위생학,2017-2학기,전공선택
5,5,2.5,2.5,3.5,송재철 교수님,식품가공및저장학,2017-2학기,전공선택
4,4,2,3,4,채선희 교수님,단체급식관리및실습,2017-2학기,전공선택
5,4,3,3,3.5,김지영 교수님,식사요법,2017-2학기,전공선택
5,2,1,1,2,이재민 교수님,지역사회영양학,2017-2학기,전공선택
3,3,3,3,3,서형주 교수님,영양사현장실습,2017-2학기,전공선택
1,4,5,5,5,조경진 교수님,임상혈액학및실험Ⅱ,2017-2학기,전공필수
5,3,3,3,3,이승관 교수님,병원임상실습I(임상화학),2017-2학기,전공선택
1,1,1,1,1,"박진영,김총명 교수님",총의치기공학,2017-2학기,전공선택
5,4,5,3,5,"김웅철,김지환 교수님",현장학습,2017-2학기,전공선택
5,5,5,5,5,"정일도,박진영배소연 교수님",최신치의기공기술및기자재의소개I,2017-2학기,전공선택
5,4,3.3,4,4.3,홍경희 교수님,패션소재,2017-2학기,전공선택
4.7,3.7,3,2.9,3.1,"이윤정,Deborah Vandermar 교수님","패션소재(영강,G-class) ]",2017-2학기,전공선택
3.4,2,3.5,3.7,2.7,김유경 교수님,식품과학의이해,2017-2학기,전공필수
5,3.2,3.4,3.8,3.4,임정하 교수님,아동발달(영강),2017-2학기,전공필수
4.9,4.3,3.4,3.5,3.3,"김경민,이하나 교수님",가정교과논리및논술,2017-2학기,전공필수
4.3,4,3,3.4,4.2,정순화 교수님,전생애발달,2017-2학기,전공선택
5,3.3,4.7,4.7,4.3,이예영 교수님,교사를위한의류학및실습(영강),2017-2학기,전공필수
5,3,4.5,4.5,3.5,이예영 교수님,교사를위한의류학및실습(영강),2017-2학기,전공필수
5,4,3.3,1.7,3.3,유세종 교수님,"가정교과교재연구및지도법 [3,4학년만 수강 가능]",2017-2학기,전공필수
4.9,4.1,2.9,3.7,3.3,이경희 교수님,성인발달과노화,2017-2학기,전공선택
4.3,3.9,4.2,4.3,4.2,노주현 교수님,패션디자인및실습,2017-2학기,전공선택
4.9,3.7,3.4,4.4,3.1,채유리 교수님,패션마케팅및머천다이징(영강),2017-2학기,전공선택
4.8,3.1,3.4,4.5,3,은난순 교수님,주거학,2017-2학기,전공필수
4.9,4.1,2.4,3.1,3.1,손혜숙 교수님,조리과학및실습 [가정교육과 학생만 수강가능],2017-2학기,전공선택
5,4.5,3,2.5,3.5,조은영 교수님,놀이지도 ['HEED178.아동발달' 기수강자만 수강 가능],2017-2학기,전공선택
3.8,4.5,2.3,2.5,2.2,김유경 교수님,식생활교육및실습,2017-2학기,전공선택
5,4.5,2.3,4.3,4.5,신우경 교수님,생애주기영양학,2017-2학기,전공선택
3.8,3.3,1.9,1.5,1.6,강선보 교수님,교육학개론,2017-2학기,전공선택
2.7,2.5,2.6,2.2,1.6,한용진 교수님,한국교육사,2017-2학기,전공필수
2.6,3.5,3.7,3.8,4.3,봉미미 교수님,교수학습이론(영강),2017-2학기,전공선택
3.7,2.2,3.4,3.9,2.4,홍후조 교수님,교육과정,2017-2학기,전공필수
3.5,4.1,3,3.1,3.7,홍세희 교수님,교육평가(영강),2017-2학기,전공필수
1.3,4.2,2.7,2.2,3.2,신창호 교수님,정보사회와윤리,2017-2학기,전공선택
4.3,3.9,3,3.7,4.1,이보라 교수님,아동ㆍ청소년진로발달(영강),2017-2학기,전공선택
4.9,4.4,1.5,1.4,2.3,김종윤 교수님,평생교육프로그램개발론(영강),2017-2학기,전공선택
2.2,3.8,1.3,1.3,1,김희배 교수님,교육학교과교재연구및지도법,2017-2학기,전공필수
4.8,4.8,2.2,1.8,3.2,김은진 교수님,교육학교과논리및논술,2017-2학기,전공필수
4,4.2,3.2,2.8,3.2,최윤진 교수님,교육사회학,2017-2학기,전공필수
5,4,2,2,2,정우진 교수님,교사론,2017-2학기,전공선택
4.4,4.3,3,3.3,3.7,이상민 교수님,학교상담과생활지도(영강),2017-2학기,전공선택
5,3.8,4.6,4.7,4.8,변기용 교수님,교육정책의이해,2017-2학기,전공선택
3.6,4.7,3,2.6,3.4,송진휘 교수님,평생교육경영학,2017-2학기,전공선택
1.8,3,2.8,3.6,3.8,조대연 교수님,인적자원개발론(영강),2017-2학기,전공선택
2.9,3.5,2.4,2.9,2.2,이용진 교수님,컴퓨터보조수업,2017-2학기,전공선택
5,4,2,2,5,정홍인 교수님,성인학습및상담론,2017-2학기,전공선택
4,3,3.8,4.3,3.5,안찬원 교수님,국어학의이해 [국어교육과만 수강가능],2017-2학기,전공필수
1.2,2,2.6,1.8,1.9,이남호 교수님,문장수사의이해 [국어교육과 1학년만 수강가능],2017-2학기,전공필수
2.8,4.2,2.8,2.9,4.1,유준 교수님,현대소설선독,2017-2학기,전공선택
4.8,4.5,2.3,1.5,3,최정례 교수님,시교육론,2017-2학기,전공선택
4.1,2.8,2.7,2.9,3.1,전경욱 교수님,고소설교육론,2017-2학기,전공필수
2.5,3.7,3.1,3,3.1,이관규 교수님,국어통사론,2017-2학기,전공선택
2,3.9,3.9,4.3,3.8,이순영 교수님,작문교육론,2017-2학기,전공선택
4.9,3.7,3,3.7,3.5,장예준 교수님,중등한문교육론,2017-2학기,전공선택
5,3.8,3.8,3,4,오태환 교수님,문예창작교육론,2017-2학기,전공선택
4.5,3.5,3.6,3.8,4.6,장정수 교수님,고전문학사,2017-2학기,전공선택
3.6,3.8,4.1,3.3,3.9,김일환 교수님,국어의미론,2017-2학기,전공선택
5,3.3,4.7,4.7,4.2,김유범 교수님,국어사,2017-2학기,전공필수
3.2,4.2,2.8,3,4.2,성은혜 교수님,현대작가론,2017-2학기,전공선택
1.1,4,2.9,2.3,3.6,이창희 교수님,근대시가교육론,2017-2학기,전공선택
5,3.7,4.7,4.8,4.8,김유범 교수님,중세국어문법,2017-2학기,전공선택
3.2,3.9,4.3,4.3,4.8,정재림 교수님,국어교과교재연구및지도법,2017-2학기,전공필수
5,4,2.7,3.3,3.7,정지현 교수님,한국어교육개론,2017-2학기,전공필수
3.3,4.7,2.7,3,4,김지애 교수님,한국어교재및지도법,2017-2학기,전공필수
