chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
5.0,3.8,3.2,4.0,4.0,오원옥 교수님,간호학개론,2017-1학기,전공선택
4.0,3.6,2.8,3.2,1.9,강지원 교수님,간호정보학및실습,2017-1학기,전공선택
5.0,2.7,4.7,4.0,3.1,추진아 교수님,간호연구방법론,2017-1학기,전공선택
5.0,3.0,3.5,3.5,3.7,설근희 교수님,기초간호과학II,2017-1학기,전공선택
4.7,3.3,4.1,4.8,3.4,"설근희,강푸름 교수님",기초간호과학III,2017-1학기,전공선택
4.9,3.4,4.1,4.4,3.1,이창규 교수님,병원미생물학,2017-1학기,전공선택
5.0,3.5,2.5,3.5,4.0,"설근희,강푸름 교수님",기초간호과학실습II,2017-1학기,전공선택
3.0,5.0,1.0,1.0,3.0,"설근희,강푸름 교수님",기초간호과학실습II,2017-1학기,전공선택
4.5,3.8,2.5,2.5,2.5,"설근희,강푸름 교수님",기초간호과학실습II,2017-1학기,전공선택
5.0,4.8,2.0,1.5,3.7,서문경애 교수님,간호통계,2017-1학기,전공선택
4.7,3.1,3.1,3.9,3.3,장성옥 교수님,기본간호학I,2017-1학기,전공필수
5.0,5.0,3.0,3.0,3.0,장성옥 교수님,기본간호학실습I,2017-1학기,전공선택
4.8,4.3,3.0,3.3,3.5,박원희 교수님,기본간호학실습I,2017-1학기,전공선택
4.0,3.5,2.3,2.3,2.5,박원희 교수님,기본간호학실습I,2017-1학기,전공선택
4.8,3.4,3.5,4.5,3.8,박수경 교수님,건강사정(영강),2017-1학기,전공선택
5.0,3.3,3.0,3.3,3.5,전진영 교수님,건강사정실습,2017-1학기,전공선택
5.0,3.0,3.5,4.0,2.8,박수경 교수님,건강사정실습,2017-1학기,전공선택
4.9,3.1,4.1,4.6,3.4,"박수경,신나미 교수님",성인간호학II,2017-1학기,전공선택
4.0,3.2,4.0,4.8,3.7,"이숙자,전진영 교수님",성인간호학III,2017-1학기,전공선택
5.0,5.0,3.0,4.0,5.0,"이숙자,전진영 교수님",성인간호학실습II,2017-1학기,전공선택
4.8,3.7,2.8,3.7,2.3,서문경애 교수님,간호전문직과윤리,2017-1학기,전공선택
4.9,3.4,3.3,4.3,4.1,"박은숙,오원옥 교수님",아동간호학I,2017-1학기,전공필수
5.0,3.0,4.0,5.0,4.0,오원옥 교수님,아동간호학실습II,2017-1학기,전공선택
5.0,3.0,4.0,5.0,3.0,오원옥 교수님,아동간호학실습II,2017-1학기,전공선택
4.9,3.3,4.1,4.6,3.9,박영주 교수님,모성간호학I,2017-1학기,전공필수
5.0,5.0,3.0,3.0,4.0,신현정 교수님,모성간호학실습II,2017-1학기,전공선택
4.9,3.1,3.0,3.4,1.9,송준아 교수님,노인간호학,2017-1학기,전공선택
5.0,5.0,2.0,3.0,4.0,송준아 교수님,간호학실습입문,2017-1학기,전공선택
4.5,3.5,3.5,3.8,3.3,정미란 교수님,정신간호학II,2017-1학기,전공선택
5.0,2.0,1.0,3.0,3.0,추진아 교수님,지역보건의료체계,2017-1학기,전공선택
4.5,2.8,3.0,3.5,3.0,유호신 교수님,지역사회간호학개론,2017-1학기,전공선택
4.1,4.7,2.8,2.6,3.7,Jean-Henry Morin 교수님,Topic Course(영강) Design Thinking,2017-1학기,전공선택
4.8,3.3,3.8,3.3,3.2,박광태 교수님,경영수학,2017-1학기,전공선택
4.9,3.6,4.0,4.3,3.5,Inna Drobouchevitch 교수님,경영수학(영강),2017-1학기,전공선택
2.1,4.0,2.2,2.7,2.4,조경아 교수님,세계경제와기업(영강),2017-1학기,전공선택
4.5,3.7,2.9,3.3,4.0,박찬수 교수님,마케팅원론,2017-1학기,전공필수
4.6,3.8,2.3,2.4,3.0,이승민 교수님,마케팅원론,2017-1학기,전공필수
3.5,3.3,2.9,3.5,3.3,구교령 교수님,마케팅원론,2017-1학기,전공필수
4.8,3.8,2.9,3.4,3.5,윤성아 교수님,마케팅원론(영강),2017-1학기,전공필수
4.7,3.6,2.8,2.8,3.3,Tony C. Garrett 교수님,마케팅원론(영강),2017-1학기,전공필수
4.9,3.9,3.0,3.2,3.6,유원상 교수님,마케팅원론(영강),2017-1학기,전공필수
4.8,4.4,3.0,3.7,3.6,Fang-Chi Lu 교수님,마케팅원론(영강),2017-1학기,전공필수
4.7,4.0,2.4,3.3,2.6,이은영 교수님,마케팅원론(영강),2017-1학기,전공필수
3.6,4.1,2.9,3.2,3.6,윤세정 교수님,마케팅원론(영강),2017-1학기,전공필수
1.7,3.5,3.5,3.6,3.9,박경서 교수님,재무관리(영강),2017-1학기,전공필수
4.1,2.8,3.9,4.1,4.2,김중혁 교수님,재무관리(영강),2017-1학기,전공필수
1.3,3.9,4.0,3.9,4.2,김우찬 교수님,재무관리(영강),2017-1학기,전공필수
1.8,3.9,3.1,3.3,4.2,황준호 교수님,재무관리(영강),2017-1학기,전공필수
1.5,3.6,4.1,4.0,4.1,손범진 교수님,재무관리(영강),2017-1학기,전공필수
4.0,3.4,4.2,3.7,3.8,박진관 교수님,재무관리(영강),2017-1학기,전공필수
3.0,3.5,4.2,3.7,3.7,임찬우 교수님,재무관리,2017-1학기,전공필수
2.7,3.0,4.2,4.0,3.5,임찬우 교수님,재무관리,2017-1학기,전공필수
1.5,3.7,3.5,3.1,3.4,강상구 교수님,재무관리,2017-1학기,전공필수
1.8,4.2,3.4,3.1,3.7,정재웅 교수님,재무관리,2017-1학기,전공필수
